,Upstream.Regulator,Target.Molecules.in.Dataset
1,Mac_type1IFN_4h,"IFIT2,IFIT1,OASL,APOBEC3A,USP18,USP41,HBG1,HESX1,APOBEC3B,IFI44,IGF2,ADM,AMOTL2,PDGFRL,CD69,DHRS2,NT5C3,PMEL,MX2,ZC3HAV1,KRT19,MMP7,GMPR,LAMP3,IFITM1,OAS1,KRT18,NEXN,TDRD7,NEURL3,AHSG,TM4SF1,CH25H,HSH2D,PNPT1,APOL6,SAMD9,PFKFB3,DHX58,KIAA0226,TNFAIP6,CSRNP1,IGLL1,SRGAP2,GAGE7,TLR3,FKBP10,NCOA7,POU5F1,IGFBP3,DCP1A,NFE2L3,TIPARP,CCL3L3,FAM59A,TXNIP,DDIT4,DLK1,ZNFX1,PRICKLE1,LAG3,TRANK1,TRIL,IFI16,SLC25A28,ZNF107,MAGEA12,ENPP2,NTNG2,MIR155HG,GTF2B,IRF9,CCNA1,HBA2,CCR1,MASTL,CNP,AMBP,MZB1,NNMT,CXorf21,AGT,NR4A3,BLZF1,ALB,LYSMD2,DSP,PIM3,ASGR1,RNF138,IER2,PTGER2,RIPK2,FAM72D,HSPA1A,ITIH4,APOA1,AEBP1,CDKN2D,PPM1K,GIMAP7,GIMAP4,LOC645722,SP140L,SOD3,FTSJD2,RPS6KA5"
2,Mac_type2IFN_4h,"CXCL9,UBD,CIITA,RARRES3,P2RY14,IFIT2,CCL2,CXCL11,SOCS3,CCL13,FCGR1B,BATF,APOL3,JAK3,LIMK2,CBR3,FPR1,CCL18,APOL6,PDE4B,ICAM1,LOC100131733,TBX21,PSTPIP2"
3,Mac_TNF,"EBI3,SLC2A6,LAD1,LOC440896,IL8,PLEKHG3,SLC7A11,NFKBIA,BIRC3,MARCKS,LOC389634,ZNF205,KCTD19,SGPP2,MSC,NKG7"
4,Watkins_CD4,"ANK3,AQP3,AXIN2,C20orf82,C3orf59,C6orf105,CD40LG,CHN1,CMTM8,CRIP2,CTLA4,DPP4,DUSP4,EDAR,EPHX2,FBXL16,FHIT,GAL3ST4,HKDC1,HPCAL4,ICOS,IL2RA,IL6ST,INPP4B,LGALS3BP,LOC642233,LOC648526,MAL,MAN1C1,MEOX1,NP_694946.1,NP_775934.3,PI16,PLEKHG5,PLEKHK1,PRKCA,SGPP2,TCEA3,TRAT1,TRBV18,TSHZ2,TSPAN18,VSIG1,WNT7A"
5,Watkins_CD8,"CD248,CD8A,CD8B,DKK3,LOC650761"
6,IL4,"ACOD1,ACOT9,ACP2,ACP5,ACSL4,ACSL6,ACTB,ACTG1,ADAM19,ADAM8,ADAMTS4,ADAP1,ADGRE1,ADORA2A,ADRM1,AGPAT4,AHR,AK2,AKAP13,ALAS1,ALG3,ALOX5,ALOX5AP,ANKRD55,ANXA1,ANXA2,ANXA6,APOO,AREG,ARID5A,ARMC6,ARNTL2,ARSB,ASCC3,ASS1,ATP5MK,B4GALT7,BACE2,BANF1,BATF,BAX,BBX,BCAT1,BCL2,BCL2L1,BCL3,BHLHE40,BIN1,BIRC2,BPGM,C15orf48,C17orf99,C3,C5AR1,CA2,CAPG,CARM1,CASP3,CBFB,CBX3,CCDC86,CCL1,CCL11,CCL13,CCL17,CCL18,CCL2,CCL20,CCL22,CCL25,CCL26,CCL3,CCL3L3,CCL4,CCL5,CCL7,CCL8,CCND2,CCND3,CCR1,CCR3,CCR4,CCR5,CCR6,CCR7,CCR8,CCRL2,CCT3,CD14,CD163,CD1B,CD1C,CD2,CD200,CD200R1,CD209,CD22,CD274,CD276,CD300A,CD300LF,CD33,CD38,CD40,CD40LG,CD44,CD5,CD58,CD6,CD69,CD72,CD74,CD79A,CD79B,CD80,CD83,CD86,CD8A,CD8B,CDKN1A,CELF2,CFLAR,CIITA,CISH,CKAP4,CLEC10A,CLEC4C,CLEC4G,CLEC7A,CLNS1A,CLTC,CMPK2,CNR2,CRIP1,CRISPLD2,CRLF2,CSF1,CSF1R,CSF2,CSF2RB,CSF3,CSF3R,CST7,CSTB,CTDNEP1,CTLA4,CTSC,CTSL,CX3CL1,CXCL1,CXCL10,CXCL11,CXCL16,CXCL2,CXCL3,CXCL6,CXCL8,CXCL9,CXCR1,CXCR2,CXCR3,CXCR4,CYBB,CYRIA,CYSLTR2,CYTH1,DARS2,DCSTAMP,DDHD1,DDIT4,DECR1,DEFB103A/DEFB103B,DEFB4A/DEFB4B,DENND4A,DHX58,DICER1,DNASE1L3,DOCK10,DPAGT1,DPP4,DUSP10,EBI3,EBNA1BP2,EFHD2,EFL1,EGR2,EIF2AK2,EIF2S1,EIF3G,EIF4A1,ELAVL4,EOMES,EPOP,EPRS1,EXT1,FAM118B,FAM126A,FAS,FASLG,FCAR,FCER1G,FCER2,FCGR1A,FCGR2A,FCGR2B,FCGR3A/FCGR3B,FCRL1,FFAR2,FKBP5,FLNA,FLNB,FLT1,FLT3LG,FOXP3,FPR1,FPR2,FSCN1,FURIN,FUT7,GADD45B,GADD45G,GALK2,GATB,GBP2,GBP3,GBP5,GBP6,GBP7,GFI1,GIMAP1-GIMAP5,GLIPR2,GNA14,GNA15,GNB4,GNPNAT1,GP5,GPR18,GPR84,GSDMC,GSR,GZMA,HBEGF,HCK,HCLS1,HDAC1,HK2,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLX,HMSD,HP,HRH1,HSD11B1,HSH2D,HTRA2,ICAM1,ICOS,IDO1,IER2,IER3,IFI16,IFI30,IFI44,IFI44L,IFIH1,IFIT1,IFIT1B,IFIT3,IFITM1,IFITM3,IFNAR1,IFNAR2,IFNG,IFNGR2,IGF2R,IGFBP4,IGHE,IGHG1,IGHG2,IGHG3,IGHG4,IL10,IL10RA,IL12A,IL12B,IL12RB1,IL12RB2,IL13,IL13RA1,IL15,IL15RA,IL16,IL17F,IL18R1,IL18RAP,IL19,IL1B,IL1R1,IL1RL1,IL1RN,IL2,IL21,IL24,IL27RA,IL2RA,IL2RB,IL2RG,IL3,IL31RA,IL32,IL36A,IL3RA,IL4,IL4I1,IL4R,IL5,IL6,IL6ST,IL7R,IL9,IMPDH1,INPP1,IPO4,IRAK2,IRAK3,IRF1,IRF4,IRF5,IRF7,IRF8,IRF9,ISG15,ISG20,ITGA4,ITGAL,ITGAX,ITGB1,ITGB2,ITGB3,ITGB7,ITPA,ITPK1,JAK1,JAK2,JAK3,JCHAIN,JUN,JUNB,KCNAB2,KCTD12,KDM5A,KLF6,KLRB1,KLRD1,KMO,KRR1,LACTB,LAG3,LCP2,LDHA,LEF1,LGALS1,LGALS2,LGALS3BP,LIF,LIFR,LIG4,LILRB1,LILRB4,LIPG,LMAN2,LPIN2,LRRC32,LRRC8C,LSP1,LTA,LTB,LY6D,LY75,LYL1,MAP2K1,MAP2K3,MAP3K11,MAP3K5,MAPKAPK2,MAPKAPK3,MATK,MCL1,MCM5,MEFV,MICA,MMP1,MMP10,MMP12,MMP3,MMP9,MOV10,MPEG1,MPHOSPH9,MRC1,MRPS10,MS4A1,MSR1,MTDH,MUC1,MXD1,MYC,MYH9,NABP1,NCL,NCOA3,NDRG1,NEDD1,NEDD9,NFATC1,NFATC2,NFIL3,NFKB1,NFKB2,NFKBIA,NFKBID,NFKBIE,NFKBIZ,NGF,NKX3-1,NOCT,NOMO1 (includes others),NOS2,NR4A3,NT5C3A,OAS2,OAS3,OASL,ODC1,OSM,PAX5,PDCD1,PDCD1LG2,PDE1B,PDE4B,PFKP,PGK1,PHB1,PI3,PIGR,PIK3R5,PIM1,PIM2,PIN1,PKM,PKNOX1,PLA2G4C,PLAU,PLBD1,PLOD2,PLSCR1,PNP,POU2AF1,POU2F2,PPM1G,PRDM1,PREX1,PRF1,PRKCA,PRKCD,PRMT1,PRRC2C,PRSS22,PSMA2,PSMA6,PSMB10,PSMB6,PSMB8,PSME1,PSMG1,PSTPIP1,PTGS2,PTPN1,PTPN2,PTPN7,PTPRCAP,PVR,QSOX1,RAB30,RAB35,RAMP3,RASGRP3,RASSF4,RELA,RHOA,RIPK3,RNF19B,RNF213,RNPS1,S100A10,S100A8,S100A9,SAA1,SAMD4A,SAMSN1,SCO2,SDF2L1,SDF4,SEC24A,SELE,SELL,SELP,SELPLG,SEMA4A,SEMA4D,SEMA7A,SERPINB3,SERPINB4,SERPINB6,SERPINB9,SERPINE1,SGTB,SH2D1A,SH2D1B,SH3BP2,SIRPA,SIRPB1,SLAIN1,SLAMF7,SLC16A3,SLC25A25,SLC39A1,SLC4A7,SNX20,SNX4,SNX8,SOCS1,SOCS2,SOCS3,SON,SPHK1,SPHK2,SPN,SPP1,SRM,ST14,ST6GAL1,STAT1,STAT2,STAT4,STAT5A,STAT5B,STAT6,STC2,STK32C,STK4,SYK,SYMPK,SYNGR2,SYNGR3,SYT11,TAP2,TAPBP,TBX21,TCF7,TES,TFEC,TFRC,TGFB1,TGFB3,TGFBR1,TGM2,THY1,TICAM1,TIMP1,TLN1,TLR2,TLR4,TMED5,TMEM131,TMEM176B,TMTC1,TNC,TNF,TNFAIP3,TNFAIP6,TNFRSF11B,TNFRSF14,TNFRSF4,TNFRSF8,TNFRSF9,TNFSF11,TNFSF18,TNFSF4,TNFSF8,TNIK,TNIP1,TNIP2,TPBG,TPI1,TRAF1,TRAF3,TRAV12-3,TRBV30,TRDV1,TRPV2,TXK,TXLNA,UGGT1,UPK3A,UPP1,USP10,USP17L2 (includes others),USP18,VARS1,VCAM1,VDAC1,VEGFA,VIM,VPS13C,VTI1A,WFDC2,XBP1,XCL1,XCL2,XRCC5,XRCC6,ZAP70,ZBP1,ZBTB46,ZC3H12A,ZFP36,ZNF195,ZNRD2"
7,IFNG,"ABCC1,ACE2,ACLY,ACO1,ACOD1,ACTB,ADA2,ADAMTS8,ADAMTS9,ADCY7,ADGRG2,ADM,ADORA2A,AGER,AHR,AIF1,AIM2,ALDH1A3,ALOX5AP,ALPL,ANGPTL4,APOBEC3G,APOL1,APOL6,ARAP2,AREG,AREL1,ARFGAP3,ARL6IP5,ASS1,ATF3,ATF4,ATG3,ATG5,ATP2A2,B2M,BACH1,BACH2,BAK1,BATF2,BAX,BCL2,BCL2A1,BCL2L1,BCL2L11,BCL3,BECN1,BID,BIRC2,BIRC3,BLNK,BRCA2,BST1,BST2,BTG1,BTN3A1,BTN3A2,BUD23,C15orf48,C1QA,C1QB,C1QC,C1R,C2,C3,C4A/C4B,C5AR1,CALCA,CALCOCO2,CALHM6,CAMK4,CAPN1,CARD6,CASP1,CASP10,CASP3,CASP4,CASP5,CASP7,CASP8,CASP9,CCL1,CCL11,CCL13,CCL17,CCL18,CCL19,CCL2,CCL20,CCL22,CCL25,CCL26,CCL3,CCL3L3,CCL4,CCL5,CCL7,CCL8,CCNA1,CCND2,CCND3,CCR1,CCR2,CCR3,CCR4,CCR5,CCR6,CCR7,CCRL2,CD14,CD163,CD1D,CD2,CD200,CD209,CD274,CD276,CD38,CD4,CD40,CD40LG,CD44,CD5L,CD63,CD68,CD72,CD74,CD80,CD83,CD86,CDC25A,CDC25B,CDKN1A,CDKN2A,CEACAM1,CEBPD,CFB,CFLAR,CFP,CGAS,CH25H,CHAC1,CHI3L2,CHST11,CIITA,CISH,CLEC10A,CLEC2D,CLEC4E,CLEC5A,CLEC7A,CLIC4,CMPK2,CORO1A,CREM,CSF1,CSF1R,CSF2,CSF2RB,CSF3,CSK,CTSB,CTSC,CTSH,CTSS,CTSZ,CX3CL1,CX3CR1,CXCL1,CXCL10,CXCL11,CXCL13,CXCL16,CXCL17,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,CXCL9,CXCR3,CXCR4,CYBA,CYBB,CYLD,CYRIA,CYSLTR2,CYTIP,DAPK1,DAXX,DDX5,DDX58,DDX60,DDX60L,DECR1,DEFB103A/DEFB103B,DEFB4A/DEFB4B,DEPP1,DHX9,DIABLO,DICER1,DNASE1L3,DOK1,DPP4,DRG1,DTX3L,DUSP4,DUSP5,E2F4,E2F5,EBI3,ECE1,EDN1,EGR2,EIF2AK2,ELAVL1,ELK1,ENO1,ENTPD1,ERAP1,ERAP2,ESM1,ETS2,ETV7,EXT1,FAM107A,FAS,FASLG,FBP1,FBXO5,FCER1G,FCER2,FCGR1A,FCGR1BP,FCGR2A,FCGR2B,FCGR3A/FCGR3B,FCN1,FGL2,FKBP1A,FKBP5,FLAD1,FLT1,FMNL2,FOXP3,FPR2,FTH1,FTL,FURIN,FXN,FZD2,GAD1,GADD45B,GART,GBP1,GBP2,GBP3,GBP4,GBP5,GBP6,GBP7,GCH1,GFAP,GFM1,GGT5,GJA5,GLA,GLIPR2,GLS,GLUL,GMPR,GNA13,GNA14,GNAI2,GNB4,GNG2,GPR19,GPR85,GRK2,GSDMD,GZMB,H4C9,HAS2,HBEGF,HCAR2,HCAR3,HCK,HERC6,HIF1A,HIRA,HK2,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,HP,HSP90AA1,HSP90AB1,HSPA5,HSPA8,HSPD1,ICAM1,IDO1,IDO2,IER2,IER3,IFI16,IFI27,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT1B,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IFITM3,IFNG,IFNGR1,IFNGR2,IFNK,IGFBP4,IGHG1,IGHM,IKBKE,IL10,IL10RA,IL12A,IL12B,IL12RB1,IL12RB2,IL13,IL13RA1,IL15,IL15RA,IL17RA,IL18BP,IL18R1,IL18RAP,IL19,IL1B,IL1R1,IL1RL1,IL1RN,IL2,IL21,IL23A,IL23R,IL25,IL27,IL2RA,IL2RB,IL31RA,IL32,IL3RA,IL4,IL4I1,IL4R,IL5,IL6,IL6R,IL7,IL7R,IL9,INSRR,IRAK1,IRAK2,IREB2,IRF1,IRF2,IRF3,IRF4,IRF5,IRF7,IRF8,IRF9,ISG15,ISG20,ITGA4,ITGA5,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB3,ITPK1,ITPR1,JAK2,JAK3,JUN,JUNB,KARS1,KCTD12,KDR,KLF1,KLF2,KLF6,KLRC4-KLRK1/KLRK1,KLRG1,KMO,KRT14,KRT17,KYNU,LAG3,LAMP3,LAT2,LCN2,LCP2,LDHA,LDLR,LGALS3BP,LGALS9,LGALS9B,LIF,LIFR,LIMK1,LST1,LTA,LTB,LY6E,LY75,LY96,LYN,MAFF,MAP2K1,MAP3K8,MARCHF1,MARCKSL1,MAX,MCHR1,MDM2,MED15,MEFV,MICA,MLKL,MMP1,MMP10,MMP12,MMP13,MMP25,MMP3,MMP9,MNDA,MRC1,MSR1,MT1A,MT1E,MT1F,MT1G,MT1M,MT2A,MTHFD2,MUC1,MUC4,MX1,MX2,MXD1,MYC,MYD88,MYH7,MYH9,NAMPT,NBN,NCF2,NCR3,NEDD9,NEURL3,NFE2L3,NFKB1,NFKB2,NFKBIA,NFKBIB,NFKBIE,NFKBIZ,NGF,NLRC5,NLRP3,NMI,NOD2,NOS2,NPPA,NR4A3,NTRK1,NUP98,OAS1,OAS2,OAS3,OASL,ODC1,OGFR,OPTN,OSM,P2RY14,P2RY6,PANX1,PARP14,PARP9,PARVG,PCDH17,PCSK1,PCTP,PDCD1,PDCD1LG2,PDE3B,PEA15,PFKFB3,PHACTR2,PHF11,PIGR,PIM1,PIM2,PIM3,PKM,PLA2G2A,PLA2G7,PLAAT4,PLAU,PLAUR,PLEK,PLSCR1,PMAIP1,PML,POMP,PPIA,PRAME,PRDM1,PRF1,PRKCA,PRKCD,PRKCQ,PRL,PSMA2,PSMA4,PSMA6,PSMB10,PSMB2,PSMB8,PSMB9,PSME1,PSME2,PSME3,PSMF1,PTAFR,PTGES,PTGES2,PTGS2,PTPN1,PTPN6,PTX3,RAB20,RAB27A,RAB3C,RAC2,RAP2B,RARRES1,RB1,RBCK1,RELA,RELB,RFX5,RGS1,RIPK1,RIPK2,RNF114,RNF31,RSAD2,RTP4,RUNX2,RUNX3,S100A10,S100A7,S100A8,S100A9,S1PR1,S1PR2,S1PR3,SAMD9,SAMHD1,SBNO2,SCIMP,SCLY,SEC11A,SEC61A1,SELE,SELL,SELP,SEMA4A,SEMA7A,SEPTIN4,SERP1,SERPINA1,SERPINB9,SERPINE1,SERPING1,SERPINH1,SIX1,SLAMF1,SLC11A1,SLC12A3,SLC15A3,SLC16A3,SLC1A3,SLC1A5,SLC28A2,SLC4A4,SLC52A2,SLC6A6,SLC8A1,SLFN12L,SLFN5,SMAD7,SMARCB1,SNAI1,SOAT1,SOCS1,SOCS2,SOCS3,SOD2,SP100,SP110,SPI1,SPP1,SRP54,SSBP1,ST6GAL1,ST6GALNAC4,STAT1,STAT2,STAT3,STAT4,STAT6,STING1,STX11,TAP1,TAP2,TAPBP,TAPBPL,TBX21,TBXAS1,TCIRG1,TFRC,TGFB1,TGFBR1,TGIF1,THBS1,THEMIS2,THPO,THY1,TICAM1,TIMP1,TLR1,TLR2,TLR3,TLR4,TLR6,TLR7,TLR8,TLR9,TMEM140,TMEM171,TNF,TNFAIP2,TNFAIP6,TNFRSF10A,TNFRSF10B,TNFRSF11B,TNFRSF12A,TNFRSF14,TNFRSF1A,TNFRSF1B,TNFSF10,TNFSF11,TNFSF13,TNFSF13B,TNFSF15,TOP1,TPI1,TRAF2,TRAF6,TRAFD1,TREM1,TREML2,TRIB2,TRIM21,TRIM22,TSPAN33,TUBB3,TUNAR,TXK,TYMP,TYROBP,UBA2,UBD,UBE2D1,UBE2L6,UCP2,USP18,USP6NL,VCAM1,VEGFA,VEGFC,VIM,VRK2,VSNL1,WARS1,WDFY1,XAF1,XCL1,ZEB2,ZFP36,ZFX,ZYX"
8,IL2,"ABCC1,ACSL6,ADAM19,ADAM8,AHR,ALDOA,ANXA1,APOBEC3G,AREG,ARHGAP25,ARHGDIA,ARHGEF2,ARHGEF3,ARHGEF6,ATF5,AURKA,BATF,BAX,BCAT1,BCCIP,BCL2,BCL2A1,BCL2L1,BHLHE40,BIRC3,C3,CALCA,CAPG,CARD6,CARD9,CASP1,CASP3,CASP4,CBLB,CCL1,CCL11,CCL17,CCL2,CCL22,CCL3,CCL3L1,CCL3L3,CCL4,CCL5,CCND2,CCND3,CCR1,CCR2,CCR3,CCR4,CCR5,CCR6,CCR7,CCR8,CD160,CD2,CD200R1,CD244,CD247,CD274,CD28,CD38,CD3D,CD3G,CD40,CD40LG,CD44,CD46,CD47,CD5,CD58,CD59,CD69,CD74,CD80,CD83,CD86,CD8A,CD8B,CDC25A,CDC6,CDKN1A,CEACAM1,CFLAR,CFP,CGAS,CHN2,CISH,CLSPN,CMKLR1,CREB1,CSF1,CSF1R,CSF2,CSF2RA,CSF2RB,CSF3,CSRNP1,CST7,CTLA4,CTPS1,CTSC,CTSL,CTSW,CX3CR1,CXCL10,CXCL3,CXCL8,CXCR1,CXCR3,CXCR4,CXCR6,CYCS,CYTH4,CYTIP,DAPK1,DAPK2,DARS2,DDIT4,DDX21,DENND2D,DKC1,DPP4,DUSP2,DUSP4,DUSP5,DUSP6,E2F4,EDN1,EEF1E1,EIF2S2,ELF1,ELOVL5,ENO1,ENPP2,ENTPD1,EOMES,ETS1,EVL,EXOSC9,FAM13B,FAS,FASLG,FCER1G,FCGR3A/FCGR3B,FCMR,FGL2,FKBP2,FLT3LG,FOXP3,FPR2,FYN,GADD45B,GADD45G,GAPDH,GARS1,GART,GBP2,GCNT1,GFAP,GFI1,GNL3,GPR183,GRN,GZMA,GZMB,GZMK,HAVCR2,HBEGF,HCK,HCST,HDAC1,HEATR9,HHEX,HK2,HLA-DPA1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HSP90B1,HSPA5,HSPD1,HVCN1,ICAM1,ICOS,IDO1,IER3,IFI16,IFI6,IFNG,IFNGR1,IFNGR2,IGFBP4,IKZF3,IL10,IL10RA,IL12B,IL12RB1,IL12RB2,IL13,IL17F,IL18BP,IL18R1,IL18RAP,IL1B,IL1R1,IL1RL1,IL1RN,IL2,IL22,IL23R,IL24,IL26,IL27RA,IL2RA,IL2RB,IL2RG,IL3,IL4,IL4R,IL5,IL6,IL7R,IL9,INSIG1,IRAG2,IRF1,IRF4,ISG15,ISG20,ITGA4,ITGB1,ITGB7,ITK,JAK1,JAK2,JAK3,JAML,JUN,JUNB,KIR2DL1/KIR2DL3,KIR2DL4,KIR3DL1,KLF1,KLF6,KLRB1,KLRC1,KLRC4-KLRK1/KLRK1,KLRD1,KLRF1,KLRG1,KPNA1,LAPTM5,LCK,LCP2,LDHA,LDLR,LIF,LIFR,LILRB4,LRRC32,LTA,LTB,LY6E,MAP2K1,MAP2K6,MAPKAPK2,MAPKAPK3,MCL1,MME,MMP25,MMP9,MTHFD2,MX1,MYC,MYO1E,NCR1,NCR3,NDRG1,NDUFA12,NETO2,NFKB1,NIFK,NME1,NMI,NOP2,NOS2,NR4A3,NT5E,ODC1,OSBPL3,OSM,PAX5,PCNA,PDCD1,PDCD2L,PDE3B,PDE4A,PDE4B,PDIA3,PEA15,PGK1,PHB1,PHLDA2,PIK3R3,PIM1,PIM2,PINX1,PLA2G2D,PLAC8,PMAIP1,PNP,POLR1B,POLR1C,POLR2D,POLR3K,PPP1R15A,PRDM1,PRF1,PRKD2,PRKX,PROK2,PSMB1,PSMG1,PTGER2,PTGIR,PTGS2,PTPN6,PTPN7,PTPRC,PTPRJ,PTRH2,PUS1,RAMP3,RCN1,RFFL,RFTN1,RGPD4 (includes others),RGS16,RHOC,RNF157,RPS6KA5,RRAS2,S100A4,S100A6,S100A8,SATB1,SELL,SELP,SELPLG,SEMA4A,SERPINB9,SERPINE1,SIPA1,SIRPG,SLA,SLAMF1,SLAMF7,SLC2A3,SLC3A2,SNAP23,SOCS1,SOCS2,SOCS3,SOS1,SPP1,SPRED1,SRM,STARD4,STAT3,STAT4,STAT5B,STC2,STIP1,STK17A,STK17B,TBX21,TFRC,TGFB1,TGFBR1,TIGIT,TIMP1,TLR2,TNF,TNFAIP3,TNFAIP8,TNFRSF10A,TNFRSF10B,TNFRSF10C,TNFRSF10D,TNFRSF11B,TNFRSF12A,TNFRSF13B,TNFRSF1A,TNFRSF1B,TNFRSF4,TNFRSF8,TNFRSF9,TNFSF10,TNFSF11,TNFSF14,TPI1,TRAF1,TRAF2,TRAF5,TRAF6,TRAV12-3,TRBV30,TRDV1,TRIB2,UBE2W,UCK2,UGP2,UMPS,UPP1,VAV1,VCAM1,VDAC1,VEGFA,VIM,WDR3,WT1,XBP1,XCL1,XCL2,YARS1"
9,IL15,"AHR,AKT1,ALDOA,ANXA1,AQP3,ARHGDIB,ATF4,BCL2,BCL2L1,BCL2L11,BPGM,BTG1,CALM1 (includes others),CAMK2D,CASP3,CBLB,CCL11,CCL17,CCL18,CCL19,CCL2,CCL3,CCL4,CCL5,CCND2,CCND3,CCR1,CCR2,CD160,CD2,CD209,CD226,CD244,CD274,CD28,CD33,CD38,CD40,CD40LG,CD44,CD46,CD5,CD53,CD59,CD69,CD74,CD80,CD83,CD84,CD86,CD8A,CD8B,CDKN1A,CEACAM1,CISH,CKS2,CMKLR1,COPB2,CORO1A,COX6C,CPT1A,CSF1,CSF2,CSF3,CTSW,CX3CR1,CXCL10,CXCL2,CXCL8,CXCR4,CXCR6,CYP27B1,DARS2,DDX18,DPP4,DUSP5,EDN1,EGR2,EIF4E,ELK3,ELOC,ENO1,ENO3,EOMES,ETS1,EXOSC8,FAS,FASLG,FBP1,FCGR3A/FCGR3B,FKBP1A,FLT3LG,FOXP3,FYB1,FYN,G6PD,GABPB1,GALM,GAPDH,GARS1,GCNT1,GDI2,GGT5,GNL2,GNLY,GPD2,GPI,GZMB,GZMK,H2AC18/H2AC19,HAT1,HAVCR2,HBEGF,HCST,HIF1A,HK1,HK2,HLA-DRA,HLX,HNRNPA2B1,HNRNPF,HSPA8,HSPE1,ICAM2,ICAM5,ICOS,IFI35,IFI6,IFIT1,IFITM1,IFNG,IL10,IL12B,IL12RB1,IL12RB2,IL13,IL15,IL15RA,IL17F,IL18R1,IL18RAP,IL1R1,IL2,IL21,IL21R,IL22,IL24,IL2RA,IL2RB,IL2RG,IL32,IL4,IL5,IL6,IL7R,IL9,IRF1,ISG15,ITGAX,ITGB1,ITGB7,JUN,JUNB,KIR2DL1/KIR2DL3,KIR3DL1,KLF2,KLRB1,KLRC1,KLRC4-KLRK1/KLRK1,KLRD1,KLRG1,LAT,LCK,LDHA,LEF1,LIF,LSP1,LTA,LYN,MACROH2A1,MAP2K1,MAPKAPK3,MCL1,MCM5,MICA,MICB,MKNK1,MT1G,MTA2,MX1,MYC,MYD88,NAGA,NCR1,NCR3,NFIL3,NFKB1,NFKBIA,NME1,NOS2,OAZ1,P2RY6,PA2G4,PCNA,PDCD1,PDCD5,PDE4B,PDIA3,PDIA4,PFKFB3,PFKP,PFN1,PGAM4,PGD,PGK1,PGM2,PIK3R3,PIM1,PKM,PLCG2,PLEK,PMAIP1,PNP,PRDM1,PRDX4,PRF1,PSAP,PSMA5,PSMB10,PSMB8,PSMB9,PTP4A1,PTP4A2,PTPRC,PTPRJ,PYGL,RAB8A,RAC2,RAET1L,RBPJ,RBX1,RGS16,RPE,RPIA,S100A11,S1PR1,SELL,SELPLG,SERPINE1,SET,SLC16A1,SLC16A3,SMAD2,SMAD7,SOCS1,SOCS2,SOS1,SP100,SPN,SRGN,SRSF7,STYK1,SYNPO,TALDO1,TBX21,TCF7,TFRC,THPO,TIGAR,TIMP1,TLR2,TNF,TNFRSF10B,TNFRSF10C,TNFRSF1A,TNFRSF9,TNFSF10,TNFSF11,TNFSF4,TPI1,TRAV12-3,TRBV30,TRIM5,TYROBP,ULBP2,UPP1,VBP1,VCAM1,VDAC3,VEGFA,XBP1,YARS1,YY1,ZFP36"
